GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Dependency-Check Ant Task,org.owasp.dependencycheck.taskdefs,Check,445,882,40,34,176,189,100,35,73,25
Dependency-Check Ant Task,org.owasp.dependencycheck.taskdefs,Check.ReportFormat,0,14,0,0,0,4,0,3,0,3
Dependency-Check Ant Task,org.owasp.dependencycheck.taskdefs,Update,240,258,8,0,104,47,46,2,42,2
Dependency-Check Ant Task,org.owasp.dependencycheck.taskdefs,RetirejsFilter,0,10,0,0,0,4,0,3,0,3
Dependency-Check Ant Task,org.owasp.dependencycheck.taskdefs,SuppressionFile,0,10,0,0,0,4,0,3,0,3
Dependency-Check Ant Task,org.owasp.dependencycheck.taskdefs,Purge,63,115,3,3,20,29,6,6,4,5
Dependency-Check Ant Task,org.owasp.dependencycheck.taskdefs,Check.ReportFormats,0,35,0,2,0,7,0,3,0,2
Dependency-Check Ant Task,org.owasp.dependencycheck.ant.logging,AntLoggerAdapter,167,163,33,17,50,50,38,19,17,15
Dependency-Check Ant Task,org.owasp.dependencycheck.ant.logging,AntLoggerFactory,0,12,0,0,0,4,0,2,0,2
Dependency-Check Ant Task,org.slf4j.impl,StaticLoggerBinder,2,38,0,0,1,12,1,5,1,5
