GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Dependency-Check Utils,org.owasp.dependencycheck.utils.search,FileContentSearch,0,74,0,6,0,10,0,6,0,3
Dependency-Check Utils,org.owasp.dependencycheck.utils,FileUtils,103,68,13,7,26,18,12,6,3,5
Dependency-Check Utils,org.owasp.dependencycheck.utils,JsonArrayFixingInputStream,22,321,8,40,4,70,8,28,0,12
Dependency-Check Utils,org.owasp.dependencycheck.utils,HttpResourceConnection,508,215,42,20,96,61,30,14,1,12
Dependency-Check Utils,org.owasp.dependencycheck.utils,Settings,482,436,57,41,108,104,55,38,14,30
Dependency-Check Utils,org.owasp.dependencycheck.utils,SSLSocketFactoryEx,251,155,16,8,58,45,21,9,11,7
Dependency-Check Utils,org.owasp.dependencycheck.utils,ExpectedObjectInputStream,0,32,0,2,0,7,0,3,0,2
Dependency-Check Utils,org.owasp.dependencycheck.utils,InvalidSettingException,12,4,0,0,6,2,3,1,3,1
Dependency-Check Utils,org.owasp.dependencycheck.utils,URLConnectionFactory.new Authenticator() {...},52,0,6,0,7,0,5,0,2,0
Dependency-Check Utils,org.owasp.dependencycheck.utils,URLConnectionFailureException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Utils,org.owasp.dependencycheck.utils,URLConnectionFactory,270,97,47,7,59,29,27,8,2,6
Dependency-Check Utils,org.owasp.dependencycheck.utils,ResourceNotFoundException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Utils,org.owasp.dependencycheck.utils,Downloader,111,55,3,1,24,16,5,4,3,4
Dependency-Check Utils,org.owasp.dependencycheck.utils,ExtractionException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Utils,org.owasp.dependencycheck.utils,TooManyRequestsException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Utils,org.owasp.dependencycheck.utils,DownloadFailedException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Utils,org.owasp.dependencycheck.utils,XmlUtils,209,0,19,0,50,0,15,0,5,0
Dependency-Check Utils,org.owasp.dependencycheck.utils,Checksum,50,177,3,9,14,41,5,14,2,10
